country,is lockdown,num_days_5_death_to_lockdown,Literacy(%),population,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,latitude,longitude,death_by_lack_of_hygiene,stringency_index,cvd_death_rate,diabetes_prevalence,life_expectancy,democracy_score,Electoral process and pluralism,functioning of government,Political participation,Political culture,Civil liberties,Obesity rate,Total Tourists,Total passengers,Passengers per Capita,Tourists per Capita
Poland,1,-5,99.8,37888000,124.027,41.8,16.763,27216.445,6.62,51.919438,19.145136,0.283,83.33,227.331,5.91,78.73,6.62,9.17,6.07,6.11,4.38,7.35,23.1,18258000,4841128,0.126,0.482421078
Australia,1,7,100,25203000,3.202,37.9,15.504,44648.71,3.84,-25.274398,133.775136,0.281,69.44,107.791,5.07,83.44,9.09,10,8.93,7.78,8.75,10,29,8815000,69294187,2.914,0.345687888
Serbia,1,-13,93,8772000,80.291,41.2,17.366,14048.881,5.609,44.016521,21.005859,0.242,100,439.415,10.08,76,6.41,8.25,5.36,6.11,5,7.35,21.5,1497000,2424886,0.342,0.219998366
Latvia,0,100,99.8,1907000,31.212,43.9,19.754,25063.846,5.57,56.879635,24.603189,0.237,59.22469136,350.06,4.91,75.29,7.49,9.58,6.07,6.11,6.88,8.82,23.6,1949000,2527368,1.278,1.033293359
Croatia,1,-11,98.5,4130000,73.726,44,19.724,22669.797,5.54,45.1,15.2,0.228,89.81,253.782,5.59,78.49,6.57,9.17,6.07,5.56,5,7.06,24.4,15593000,1782666,0.424,3.798290392
Iceland,0,100,99.9,339000,3.404,37.3,14.431,46482.958,2.91,64.963051,-19.020835,0.221,45.43206897,117.992,5.31,82.99,9.58,10,9.29,8.89,10,9.71,21.9,2225000,3413950,10.32,6.52014652
Ireland,1,-12,98,4882000,69.874,38.7,13.928,67335.293,2.96,53.41291,-8.24389,0.205,85.19,126.459,3.28,82.3,9.24,10,7.86,8.33,10,10,25.3,10338000,113144501,24.409,2.093646639
Bosnia and Herzegovina,0,100,96.99,3301000,68.496,42.5,16.569,11713.895,3.5,43.915886,17.679076,0.185,90.74,329.635,10.08,77.4,4.86,6.17,2.93,5.56,3.75,5.88,17.9,923000,7070,0.002,0.281332535
Switzerland,0,100,99,8591000,214.243,43.1,18.436,57410.166,4.53,46.818188,8.227512,0.18,76.85,99.739,5.59,83.78,9.03,9.58,9.29,7.78,9.38,9.12,19.5,9889000,26843991,3.241,1.142626977
Slovenia,0,100,99.7,2079000,102.619,44.5,19.062,31400.84,4.5,46.151241,14.995463,0.173,86.11,153.493,7.25,81.32,7.5,9.58,6.79,6.67,6.25,8.24,20.2,3586000,1130637,0.548,1.724924144
Belarus,0,100,99.6,9452000,46.858,40.3,14.799,17167.967,11,53.709807,27.953389,0.171,13.89,443.129,5.18,74.79,2.48,0.92,2,2.78,4.38,2.35,24.5,11060200,1489035,0.157,1.170475635
Spain,1,7,97.9,46737000,93.105,45.5,19.436,34272.36,2.97,40.463667,-3.74922,0.166,85.19,99.403,7.17,83.56,8.29,9.58,7.14,7.78,8.13,8.82,23.8,81786000,60809228,1.305,1.749254189
Estonia,0,100,99.8,1326000,31.033,42.7,19.452,29481.252,4.69,58.595272,25.013607,0.163,71.065,255.569,4.02,78.74,7.9,9.58,7.86,6.67,6.88,8.53,21.2,3245000,512388,0.39,2.446215302
Italy,1,14,98.6,60550000,205.859,47.9,23.021,35220.084,3.18,41.87194,12.56738,0.114,91.67,113.151,4.78,83.51,7.52,9.58,6.07,7.78,6.25,7.94,19.9,58253000,26036010,0.429,0.963467396
Finland,1,-1,100,5532000,18.136,42.8,21.228,40585.721,3.28,61.92411,25.748151,0.102,65.74,153.507,5.76,81.91,9.25,10,8.93,8.89,8.75,9.71,22.2,3180000,9972333,1.82,0.573932837
Austria,1,-4,98,8955000,106.749,44.4,19.202,45436.686,7.37,47.516231,14.550072,0.095,66.67,145.183,6.35,81.54,8.29,9.58,7.86,8.33,6.88,8.82,20.1,29460000,14718641,1.703,3.271007284
Greece,1,5,97.5,10473000,83.479,45.3,20.396,24574.382,4.21,39.074208,21.824312,0.086,84.26,175.695,4.55,82.24,7.43,9.58,4.86,6.67,7.5,8.53,24.9,27194000,12583541,1.163,2.609023687
